frame,id,x1,y1,x2,y2,confidence,class_id
22,1,406.6446533203125,454.9617919921875,1690.89599609375,900.7229614257812,1.0,31
23,1,411.23602294921875,452.1409606933594,1701.22705078125,891.7655639648438,1.0,31
-1,1,411.23602294921875,452.1409606933594,1701.22705078125,891.7655639648438,1.0,31
25,1,405.84771728515625,449.63397216796875,1706.7681884765625,882.08642578125,1.0,31
-1,1,405.84771728515625,449.63397216796875,1706.7681884765625,882.08642578125,1.0,31
27,1,418.13690185546875,450.7108154296875,1721.32177734375,855.5996704101562,1.0,31
28,1,422.578125,453.1768798828125,1718.8487548828125,867.32373046875,1.0,31
29,1,425.7264404296875,450.4721374511719,1717.284423828125,858.2064208984375,1.0,31
30,1,428.6349182128906,454.5604248046875,1737.03515625,855.5294189453125,1.0,31
31,1,447.8666687011719,452.3385314941406,1734.7567138671875,847.4892578125,1.0,31
32,1,467.4210205078125,451.93524169921875,1751.6220703125,861.0053100585938,1.0,31
33,1,444.42535400390625,449.17437744140625,1756.207763671875,853.8821411132812,1.0,31
34,1,449.83538818359375,449.6172180175781,1757.5653076171875,856.6298828125,1.0,31
35,1,425.4298095703125,446.75189208984375,1763.9150390625,845.1712646484375,1.0,31
-1,1,425.4298095703125,446.75189208984375,1763.9150390625,845.1712646484375,1.0,31
-1,1,425.4298095703125,446.75189208984375,1763.9150390625,845.1712646484375,1.0,31
-1,1,425.4298095703125,446.75189208984375,1763.9150390625,845.1712646484375,1.0,31
39,1,483.7845458984375,443.57904052734375,1768.8487548828125,842.7086791992188,1.0,31
40,1,482.99359130859375,442.2550048828125,1773.8572998046875,839.203125,1.0,31
-1,1,482.99359130859375,442.2550048828125,1773.8572998046875,839.203125,1.0,31
42,1,448.48297119140625,430.842041015625,1776.76171875,824.9612426757812,1.0,31
-1,1,448.48297119140625,430.842041015625,1776.76171875,824.9612426757812,1.0,31
44,1,448.48297119140625,430.842041015625,1776.76171875,824.9612426757812,1.0,31
-1,1,448.48297119140625,430.842041015625,1776.76171875,824.9612426757812,1.0,31
-1,1,448.48297119140625,430.842041015625,1776.76171875,824.9612426757812,1.0,31
-1,1,448.48297119140625,430.842041015625,1776.76171875,824.9612426757812,1.0,31
-1,1,448.48297119140625,430.842041015625,1776.76171875,824.9612426757812,1.0,31
-1,1,448.48297119140625,430.842041015625,1776.76171875,824.9612426757812,1.0,31
-1,1,448.48297119140625,430.842041015625,1776.76171875,824.9612426757812,1.0,31
-1,1,448.48297119140625,430.842041015625,1776.76171875,824.9612426757812,1.0,31
-1,1,448.48297119140625,430.842041015625,1776.76171875,824.9612426757812,1.0,31
-1,1,448.48297119140625,430.842041015625,1776.76171875,824.9612426757812,1.0,31
-1,1,448.48297119140625,430.842041015625,1776.76171875,824.9612426757812,1.0,31
-1,1,448.48297119140625,430.842041015625,1776.76171875,824.9612426757812,1.0,31
-1,1,448.48297119140625,430.842041015625,1776.76171875,824.9612426757812,1.0,31
