frame,x1,y1,x2,y2,confidence,class_id
2,323.95343017578125,447.13421630859375,1599.06298828125,898.8612670898438,0.49384596943855286,31
3,330.793701171875,447.9654235839844,1604.5386962890625,906.2069702148438,0.8126522898674011,31
4,334.8204345703125,441.5988464355469,1602.424560546875,909.2814331054688,0.6996785998344421,31
5,335.9447326660156,447.3399353027344,1607.4217529296875,906.5897827148438,0.6021840572357178,31
6,346.108154296875,450.3674011230469,1588.1693115234375,872.1240844726562,0.28990283608436584,31
7,352.24969482421875,451.75909423828125,1604.6646728515625,885.9136962890625,0.5026535987854004,31
11,365.59881591796875,451.8858947753906,1659.2149658203125,905.7764892578125,0.3999645411968231,31
12,362.0277099609375,451.7985534667969,1659.355712890625,907.902099609375,0.43474698066711426,31
13,365.5865478515625,457.44195556640625,1660.672607421875,909.1049194335938,0.37905171513557434,31
15,369.821044921875,454.3103942871094,1659.791748046875,915.1151733398438,0.3340836465358734,31
17,381.02667236328125,451.45404052734375,1673.307861328125,891.341552734375,0.25688987970352173,31
18,395.59881591796875,453.613037109375,1660.8114013671875,906.5289916992188,0.4015958905220032,31
19,409.39984130859375,453.86334228515625,1666.8623046875,901.4251098632812,0.2762107849121094,31
20,407.117431640625,455.73760986328125,1678.1551513671875,908.748779296875,0.4762168824672699,31
21,407.3287353515625,460.5472412109375,1685.6927490234375,902.9059448242188,0.6811696887016296,31
22,406.6446533203125,454.9617919921875,1690.89599609375,900.7229614257812,0.6444727182388306,31
23,411.23602294921875,452.1409606933594,1701.22705078125,891.7655639648438,0.5696422457695007,31
25,405.84771728515625,449.63397216796875,1706.7681884765625,882.08642578125,0.30685290694236755,31
27,418.13690185546875,450.7108154296875,1721.32177734375,855.5996704101562,0.2610173523426056,31
28,422.578125,453.1768798828125,1718.8487548828125,867.32373046875,0.46121135354042053,31
29,425.7264404296875,450.4721374511719,1717.284423828125,858.2064208984375,0.4879142940044403,31
30,428.6349182128906,454.5604248046875,1737.03515625,855.5294189453125,0.5310994386672974,31
31,447.8666687011719,452.3385314941406,1734.7567138671875,847.4892578125,0.5588939189910889,31
32,467.4210205078125,451.93524169921875,1751.6220703125,861.0053100585938,0.7685975432395935,31
33,444.42535400390625,449.17437744140625,1756.207763671875,853.8821411132812,0.7297184467315674,31
34,449.83538818359375,449.6172180175781,1757.5653076171875,856.6298828125,0.6179044842720032,31
35,425.4298095703125,446.75189208984375,1763.9150390625,845.1712646484375,0.36609408259391785,31
39,483.7845458984375,443.57904052734375,1768.8487548828125,842.7086791992188,0.39958348870277405,31
40,482.99359130859375,442.2550048828125,1773.8572998046875,839.203125,0.3086371421813965,31
42,448.48297119140625,430.842041015625,1776.76171875,824.9612426757812,0.2851201593875885,31
44,420.2596740722656,423.15618896484375,1766.350341796875,820.0856323242188,0.29929035902023315,31
158,1039.2293701171875,346.8318786621094,1668.0333251953125,653.6444702148438,0.29761403799057007,14
159,1040.1243896484375,349.61773681640625,1675.4036865234375,656.7788696289062,0.2696070373058319,14
167,788.378173828125,357.637939453125,1688.8135986328125,687.8779907226562,0.3137463629245758,4
188,954.229248046875,407.945068359375,1678.4908447265625,759.3070678710938,0.333003968000412,4
189,972.0873413085938,410.0591125488281,1681.715087890625,738.8604736328125,0.2535827159881592,4
192,975.5819091796875,410.6607971191406,1679.3299560546875,738.8580932617188,0.4008049964904785,4
193,975.2274169921875,412.1976013183594,1682.391845703125,767.184814453125,0.3500005900859833,4
193,69.37005615234375,313.2003479003906,1685.0802001953125,778.4031372070312,0.34715595841407776,4
194,980.2022094726562,416.4873046875,1686.1920166015625,757.9528198242188,0.3943237364292145,4
195,989.1046142578125,416.81341552734375,1690.1727294921875,743.4832763671875,0.4910573959350586,4
195,67.26177978515625,318.7496337890625,1690.7564697265625,760.8790283203125,0.27062344551086426,4
196,977.2750854492188,416.89544677734375,1689.7138671875,743.2454833984375,0.43497708439826965,4
197,977.87255859375,417.7182312011719,1688.6346435546875,744.977294921875,0.4013463258743286,4
203,956.4175415039062,467.5111083984375,1682.662109375,746.1541137695312,0.2618795335292816,31
221,909.164794921875,430.9422912597656,1699.030517578125,757.4443359375,0.37896689772605896,4
222,936.9768676757812,436.15008544921875,1699.8292236328125,760.2581176757812,0.33662891387939453,4
223,925.0713500976562,441.73516845703125,1711.5069580078125,762.2810668945312,0.3055683970451355,4
226,911.9364624023438,453.3196105957031,1700.0098876953125,759.5535888671875,0.356479674577713,4
227,912.1030883789062,430.6592102050781,1701.7318115234375,756.2195434570312,0.6553623080253601,4
229,931.8869018554688,422.7572937011719,1697.5777587890625,757.435546875,0.4558994472026825,4
230,931.925537109375,457.7846374511719,1695.0889892578125,753.5096435546875,0.3381994366645813,31
231,946.928466796875,454.1342468261719,1694.3441162109375,750.983154296875,0.3330853283405304,31
235,908.5896606445312,454.5960388183594,1686.3729248046875,745.3895874023438,0.2817540168762207,4
239,872.9705200195312,417.2124938964844,1683.2110595703125,747.1360473632812,0.5134707093238831,4
240,850.642822265625,413.2899169921875,1680.5504150390625,746.6940307617188,0.5348445773124695,4
241,851.2738037109375,420.24920654296875,1685.1544189453125,748.125732421875,0.41821372509002686,4
242,856.4328002929688,428.02972412109375,1675.4224853515625,751.9310913085938,0.5674720406532288,4
243,854.7802734375,421.9742431640625,1678.2784423828125,749.1339111328125,0.6067711114883423,4
246,832.9775390625,428.3763427734375,1674.603515625,747.1185302734375,0.2553233504295349,4
248,832.5932006835938,398.3092346191406,1684.1767578125,746.1220703125,0.2528938949108124,4
249,832.7415161132812,408.6636657714844,1678.538818359375,743.3128051757812,0.38104140758514404,4
250,831.71337890625,407.84600830078125,1676.8404541015625,744.7586059570312,0.5705570578575134,4
251,829.0693359375,402.89739990234375,1681.7186279296875,738.3825073242188,0.3854573369026184,30
252,808.3782348632812,398.00006103515625,1668.7076416015625,740.7068481445312,0.3163793683052063,4
252,810.3460693359375,397.3475646972656,1671.758544921875,735.8291625976562,0.2501998543739319,30
257,797.91796875,396.1712951660156,1662.657470703125,736.8433837890625,0.3736552894115448,4
258,784.6834716796875,391.50384521484375,1661.4334716796875,732.7827758789062,0.3123995065689087,30
259,797.1328125,393.53741455078125,1658.619140625,733.3365478515625,0.259838730096817,4
261,763.3624877929688,392.9566955566406,1652.4312744140625,721.910400390625,0.3149661123752594,4
262,750.3455200195312,391.1033020019531,1642.9183349609375,718.9283447265625,0.5628042817115784,4
263,753.1534423828125,390.60498046875,1651.052490234375,716.3080444335938,0.5364063382148743,4
264,749.2282104492188,389.720947265625,1652.3673095703125,715.79150390625,0.6147938370704651,4
265,742.6168212890625,391.55108642578125,1649.64111328125,712.8191528320312,0.5919229388237,4
266,742.5726928710938,391.1776428222656,1645.2769775390625,715.988037109375,0.3712652921676636,4
267,740.6495361328125,379.30224609375,1642.7901611328125,711.70458984375,0.4860411286354065,4
268,733.5134887695312,381.9337463378906,1644.60498046875,708.661376953125,0.3431095480918884,30
269,737.5486450195312,381.251953125,1646.8291015625,708.8009033203125,0.3872912526130676,4
270,726.847412109375,376.24859619140625,1644.1239013671875,706.6133422851562,0.36881211400032043,30
270,725.5770263671875,380.7476806640625,1643.35546875,710.4169921875,0.3661097586154938,4
271,723.7880249023438,373.59375,1647.4866943359375,707.1220703125,0.53333979845047,4
272,728.6239013671875,366.2500305175781,1645.46630859375,708.7175903320312,0.6536362171173096,4
273,727.1839599609375,366.3683166503906,1648.9464111328125,705.923095703125,0.6503441333770752,4
274,717.0223388671875,362.9248352050781,1647.3292236328125,710.6051025390625,0.6089937686920166,4
275,717.0208740234375,364.0697021484375,1647.34130859375,699.78369140625,0.6481454372406006,4
276,718.7850952148438,364.70233154296875,1642.2198486328125,702.757568359375,0.6236768364906311,4
